"","AGE","AREA_KM2","NAME","POP","FIPS","time","SEX","abs_pop"
"1",0,1943945,"Mexico",-1137819,"MX",1980,"Hombres",1137819
"2",1,1943945,"Mexico",-1111649,"MX",1980,"Hombres",1111649
"3",2,1943945,"Mexico",-1102493,"MX",1980,"Hombres",1102493
"4",3,1943945,"Mexico",-1098743,"MX",1980,"Hombres",1098743
"5",4,1943945,"Mexico",-1095436,"MX",1980,"Hombres",1095436
"6",5,1943945,"Mexico",-1088913,"MX",1980,"Hombres",1088913
"7",6,1943945,"Mexico",-1076110,"MX",1980,"Hombres",1076110
"8",7,1943945,"Mexico",-1056541,"MX",1980,"Hombres",1056541
"9",8,1943945,"Mexico",-1030374,"MX",1980,"Hombres",1030374
"10",9,1943945,"Mexico",-998745,"MX",1980,"Hombres",998745
"11",10,1943945,"Mexico",-965926,"MX",1980,"Hombres",965926
"12",11,1943945,"Mexico",-931814,"MX",1980,"Hombres",931814
"13",12,1943945,"Mexico",-898165,"MX",1980,"Hombres",898165
"14",13,1943945,"Mexico",-866204,"MX",1980,"Hombres",866204
"15",14,1943945,"Mexico",-835599,"MX",1980,"Hombres",835599
"16",15,1943945,"Mexico",-804274,"MX",1980,"Hombres",804274
"17",16,1943945,"Mexico",-772354,"MX",1980,"Hombres",772354
"18",17,1943945,"Mexico",-742226,"MX",1980,"Hombres",742226
"19",18,1943945,"Mexico",-714558,"MX",1980,"Hombres",714558
"20",19,1943945,"Mexico",-688636,"MX",1980,"Hombres",688636
"21",20,1943945,"Mexico",-664272,"MX",1980,"Hombres",664272
"22",21,1943945,"Mexico",-639549,"MX",1980,"Hombres",639549
"23",22,1943945,"Mexico",-612413,"MX",1980,"Hombres",612413
"24",23,1943945,"Mexico",-581732,"MX",1980,"Hombres",581732
"25",24,1943945,"Mexico",-548985,"MX",1980,"Hombres",548985
"26",25,1943945,"Mexico",-515870,"MX",1980,"Hombres",515870
"27",26,1943945,"Mexico",-485197,"MX",1980,"Hombres",485197
"28",27,1943945,"Mexico",-458768,"MX",1980,"Hombres",458768
"29",28,1943945,"Mexico",-438082,"MX",1980,"Hombres",438082
"30",29,1943945,"Mexico",-421964,"MX",1980,"Hombres",421964
"31",30,1943945,"Mexico",-407560,"MX",1980,"Hombres",407560
"32",31,1943945,"Mexico",-393457,"MX",1980,"Hombres",393457
"33",32,1943945,"Mexico",-380778,"MX",1980,"Hombres",380778
"34",33,1943945,"Mexico",-369237,"MX",1980,"Hombres",369237
"35",34,1943945,"Mexico",-358607,"MX",1980,"Hombres",358607
"36",35,1943945,"Mexico",-349148,"MX",1980,"Hombres",349148
"37",36,1943945,"Mexico",-340287,"MX",1980,"Hombres",340287
"38",37,1943945,"Mexico",-330927,"MX",1980,"Hombres",330927
"39",38,1943945,"Mexico",-320534,"MX",1980,"Hombres",320534
"40",39,1943945,"Mexico",-309416,"MX",1980,"Hombres",309416
"41",40,1943945,"Mexico",-298465,"MX",1980,"Hombres",298465
"42",41,1943945,"Mexico",-288012,"MX",1980,"Hombres",288012
"43",42,1943945,"Mexico",-277525,"MX",1980,"Hombres",277525
"44",43,1943945,"Mexico",-266991,"MX",1980,"Hombres",266991
"45",44,1943945,"Mexico",-256498,"MX",1980,"Hombres",256498
"46",45,1943945,"Mexico",-246004,"MX",1980,"Hombres",246004
"47",46,1943945,"Mexico",-235756,"MX",1980,"Hombres",235756
"48",47,1943945,"Mexico",-226099,"MX",1980,"Hombres",226099
"49",48,1943945,"Mexico",-217207,"MX",1980,"Hombres",217207
"50",49,1943945,"Mexico",-208900,"MX",1980,"Hombres",208900
"51",50,1943945,"Mexico",-201007,"MX",1980,"Hombres",201007
"52",51,1943945,"Mexico",-193132,"MX",1980,"Hombres",193132
"53",52,1943945,"Mexico",-184967,"MX",1980,"Hombres",184967
"54",53,1943945,"Mexico",-176298,"MX",1980,"Hombres",176298
"55",54,1943945,"Mexico",-167360,"MX",1980,"Hombres",167360
"56",55,1943945,"Mexico",-158443,"MX",1980,"Hombres",158443
"57",56,1943945,"Mexico",-149996,"MX",1980,"Hombres",149996
"58",57,1943945,"Mexico",-142279,"MX",1980,"Hombres",142279
"59",58,1943945,"Mexico",-135521,"MX",1980,"Hombres",135521
"60",59,1943945,"Mexico",-129519,"MX",1980,"Hombres",129519
"61",60,1943945,"Mexico",-123894,"MX",1980,"Hombres",123894
"62",61,1943945,"Mexico",-118338,"MX",1980,"Hombres",118338
"63",62,1943945,"Mexico",-112861,"MX",1980,"Hombres",112861
"64",63,1943945,"Mexico",-107350,"MX",1980,"Hombres",107350
"65",64,1943945,"Mexico",-101863,"MX",1980,"Hombres",101863
"66",65,1943945,"Mexico",-96543,"MX",1980,"Hombres",96543
"67",66,1943945,"Mexico",-91483,"MX",1980,"Hombres",91483
"68",67,1943945,"Mexico",-86629,"MX",1980,"Hombres",86629
"69",68,1943945,"Mexico",-81997,"MX",1980,"Hombres",81997
"70",69,1943945,"Mexico",-77558,"MX",1980,"Hombres",77558
"71",70,1943945,"Mexico",-73270,"MX",1980,"Hombres",73270
"72",71,1943945,"Mexico",-69098,"MX",1980,"Hombres",69098
"73",72,1943945,"Mexico",-65015,"MX",1980,"Hombres",65015
"74",73,1943945,"Mexico",-61008,"MX",1980,"Hombres",61008
"75",74,1943945,"Mexico",-57081,"MX",1980,"Hombres",57081
"76",75,1943945,"Mexico",-53236,"MX",1980,"Hombres",53236
"77",76,1943945,"Mexico",-49484,"MX",1980,"Hombres",49484
"78",77,1943945,"Mexico",-45830,"MX",1980,"Hombres",45830
"79",78,1943945,"Mexico",-42282,"MX",1980,"Hombres",42282
"80",79,1943945,"Mexico",-38851,"MX",1980,"Hombres",38851
"81",80,1943945,"Mexico",-32361,"MX",1980,"Hombres",32361
"82",81,1943945,"Mexico",-28980,"MX",1980,"Hombres",28980
"83",82,1943945,"Mexico",-25790,"MX",1980,"Hombres",25790
"84",83,1943945,"Mexico",-22797,"MX",1980,"Hombres",22797
"85",84,1943945,"Mexico",-20007,"MX",1980,"Hombres",20007
"86",85,1943945,"Mexico",-17425,"MX",1980,"Hombres",17425
"87",86,1943945,"Mexico",-15053,"MX",1980,"Hombres",15053
"88",87,1943945,"Mexico",-12892,"MX",1980,"Hombres",12892
"89",88,1943945,"Mexico",-10941,"MX",1980,"Hombres",10941
"90",89,1943945,"Mexico",-9195,"MX",1980,"Hombres",9195
"91",90,1943945,"Mexico",-7648,"MX",1980,"Hombres",7648
"92",91,1943945,"Mexico",-6293,"MX",1980,"Hombres",6293
"93",92,1943945,"Mexico",-5119,"MX",1980,"Hombres",5119
"94",93,1943945,"Mexico",-4114,"MX",1980,"Hombres",4114
"95",94,1943945,"Mexico",-3264,"MX",1980,"Hombres",3264
"96",95,1943945,"Mexico",-2555,"MX",1980,"Hombres",2555
"97",96,1943945,"Mexico",-1972,"MX",1980,"Hombres",1972
"98",97,1943945,"Mexico",-1500,"MX",1980,"Hombres",1500
"99",98,1943945,"Mexico",-1123,"MX",1980,"Hombres",1123
"100",99,1943945,"Mexico",-828,"MX",1980,"Hombres",828
"101",100,1943945,"Mexico",-2011,"MX",1980,"Hombres",2011
"102",0,1943945,"Mexico",-1129830,"MX",1981,"Hombres",1129830
"103",1,1943945,"Mexico",-1115938,"MX",1981,"Hombres",1115938
"104",2,1943945,"Mexico",-1102524,"MX",1981,"Hombres",1102524
"105",3,1943945,"Mexico",-1096339,"MX",1981,"Hombres",1096339
"106",4,1943945,"Mexico",-1093648,"MX",1981,"Hombres",1093648
"107",5,1943945,"Mexico",-1091211,"MX",1981,"Hombres",1091211
"108",6,1943945,"Mexico",-1085353,"MX",1981,"Hombres",1085353
"109",7,1943945,"Mexico",-1072858,"MX",1981,"Hombres",1072858
"110",8,1943945,"Mexico",-1053313,"MX",1981,"Hombres",1053313
"111",9,1943945,"Mexico",-1027182,"MX",1981,"Hombres",1027182
"112",10,1943945,"Mexico",-995398,"MX",1981,"Hombres",995398
"113",11,1943945,"Mexico",-962036,"MX",1981,"Hombres",962036
"114",12,1943945,"Mexico",-927389,"MX",1981,"Hombres",927389
"115",13,1943945,"Mexico",-892913,"MX",1981,"Hombres",892913
"116",14,1943945,"Mexico",-859698,"MX",1981,"Hombres",859698
"117",15,1943945,"Mexico",-827415,"MX",1981,"Hombres",827415
"118",16,1943945,"Mexico",-794448,"MX",1981,"Hombres",794448
"119",17,1943945,"Mexico",-761687,"MX",1981,"Hombres",761687
"120",18,1943945,"Mexico",-731977,"MX",1981,"Hombres",731977
"121",19,1943945,"Mexico",-705017,"MX",1981,"Hombres",705017
"122",20,1943945,"Mexico",-679847,"MX",1981,"Hombres",679847
